Date,Open,High,Low,Close,Adj Close,Volume
2021-12-31,338.510010,339.359985,335.850006,336.320007,331.640442,18000800
2022-01-03,335.350006,338.000000,329.779999,334.750000,330.092285,28865100
2022-01-04,334.829987,335.200012,326.119995,329.010010,324.432129,32674300
2022-01-05,325.859985,326.070007,315.980011,316.380005,311.977844,40054300
2022-01-06,313.149994,318.700012,311.489990,313.880005,309.512634,39646100
2022-01-07,314.149994,316.500000,310.089996,314.040009,309.670410,32720000
2022-01-10,309.489990,314.720001,304.690002,314.269989,309.897217,44289500
2022-01-11,313.380005,316.609985,309.890015,314.980011,310.597321,29386800
2022-01-12,319.670013,323.410004,317.079987,318.269989,313.841522,34372200
2022-01-13,320.470001,320.880005,304.000000,304.799988,300.558990,45366000
2022-01-14,304.250000,310.820007,303.750000,310.200012,305.883881,39846400
2022-01-18,304.070007,309.799988,301.739990,302.649994,298.438843,42333200
2022-01-19,306.290009,313.910004,302.700012,303.329987,299.109436,45933900
2022-01-20,309.070007,311.649994,301.140015,301.600006,297.403473,35380700
2022-01-21,302.690002,304.109985,295.609985,296.029999,291.911041,57984400
2022-01-24,292.200012,297.109985,276.049988,296.369995,292.246307,85731500
2022-01-25,291.519989,294.989990,285.170013,288.489990,284.475922,72848600
2022-01-26,307.989990,308.500000,293.029999,296.709991,292.581543,90428900
2022-01-27,302.660004,307.299988,297.929993,299.839996,295.667969,53481300
2022-01-28,300.230011,308.480011,294.450012,308.260010,303.970825,49743700
2022-01-31,308.950012,312.380005,306.369995,310.980011,306.653015,46444500
2022-02-01,310.410004,310.630005,305.130005,308.760010,304.463898,40950400
2022-02-02,309.630005,315.119995,308.880005,313.459991,309.098480,36636000
2022-02-03,309.489990,311.230011,299.959991,301.250000,297.058380,43730000
2022-02-04,300.209991,308.799988,299.970001,305.940002,301.683105,35096500
2022-02-07,306.170013,307.839996,299.899994,300.950012,296.762573,28533300
2022-02-08,301.250000,305.559998,299.950012,304.559998,300.322357,32421200
2022-02-09,309.869995,311.929993,307.390015,311.209991,306.879761,31284700
2022-02-10,304.040009,309.119995,300.700012,302.380005,298.172668,45386200
2022-02-11,303.190002,304.290009,294.220001,295.040009,290.934784,39175600
2022-02-14,293.769989,296.760010,291.350006,295.000000,290.895325,36359500
2022-02-15,300.010010,300.799988,297.019989,300.470001,296.289276,27058300
2022-02-16,298.369995,300.869995,293.679993,299.500000,295.943420,29982100
2022-02-17,296.359985,296.799988,290.000000,290.730011,287.277588,32461600
2022-02-18,293.049988,293.859985,286.309998,287.929993,284.510773,34264000
2022-02-22,285.000000,291.540009,284.500000,287.720001,284.303253,41736100
2022-02-23,290.179993,291.700012,280.100006,280.269989,276.941772,37811200
2022-02-24,272.510010,295.160004,271.519989,294.589996,291.091705,56989700
2022-02-25,295.140015,297.630005,291.649994,297.309998,293.779388,32546700
2022-02-28,294.309998,299.140015,293.000000,298.790009,295.241821,34627500
2022-03-01,296.399994,299.970001,292.149994,294.950012,291.447479,31217800
2022-03-02,295.359985,301.470001,293.700012,300.190002,296.625214,31873000
2022-03-03,302.890015,303.130005,294.049988,295.920013,292.405914,27314500
2022-03-04,294.290009,295.660004,287.170013,289.859985,286.417847,32356500
2022-03-07,288.529999,289.690002,278.529999,278.910004,275.597931,43157200
2022-03-08,277.799988,283.959991,270.000000,275.850006,272.574249,48159500
2022-03-09,283.440002,289.600006,280.779999,288.500000,285.074036,35204500
2022-03-10,283.019989,286.600006,280.579987,285.589996,282.198578,30628000
2022-03-11,287.959991,289.510010,279.429993,280.070007,276.744110,27209300
2022-03-14,280.339996,285.399994,275.820007,276.440002,273.157257,30660700
2022-03-15,280.350006,287.820007,278.730011,287.149994,283.740051,34245100
2022-03-16,289.109985,294.570007,283.200012,294.390015,290.894104,37826300
2022-03-17,293.290009,295.609985,289.369995,295.220001,291.714233,30816600
2022-03-18,295.369995,301.000000,292.730011,300.429993,296.862335,43390600
2022-03-21,298.890015,300.140015,294.899994,299.160004,295.607422,28351200
2022-03-22,299.799988,305.000000,298.769989,304.059998,300.449249,27599700
2022-03-23,300.510010,303.230011,297.720001,299.489990,295.933502,25715400
2022-03-24,299.140015,304.200012,298.320007,304.100006,300.488800,24484500
2022-03-25,305.230011,305.500000,299.290009,303.679993,300.073761,22566500
2022-03-28,304.329987,310.799988,304.329987,310.700012,307.010376,29578200
2022-03-29,313.910004,315.820007,309.049988,315.410004,311.664459,30393400
2022-03-30,313.760010,315.950012,311.579987,313.859985,310.132874,28163600
